,Joueur,Nb_match,Nb_but,Carton_J,Carton_R
0,Keylor Navas,23,0,0,0
1,Sergio Rico,7,0,0,0
2,Alexandre Letellier,0,0,0,0
3,Presnel Kimpembe,20,0,6,1
4,Thilo Kehrer,17,0,3,0
5,Marquinhos,19,2,1,0
6,Juan Bernat,3,0,2,0
7,Layvin Kurzawa,17,1,3,1
8,Abdou Diallo,19,0,2,2
9,Alessandro Florenzi,22,2,1,0
10,Mitchel Bakker,26,0,1,0
11,Colin Dagba,17,1,3,0
12,Marco Verratti,18,0,6,0
13,Leandro Paredes,17,0,6,1
14,Ángel Di María,24,5,1,0
15,Rafinha,18,0,2,0
16,Danilo Pereira,17,0,3,0
17,Pablo Sarabia,22,4,1,0
18,Ander Herrera,25,1,2,0
19,Julian Draxler,12,2,3,0
20,Idrissa Gueye,22,2,3,1
21,Kylian Mbappé,25,17,2,0
22,Mauro Icardi,11,5,0,0
23,Neymar Jr,16,13,6,1
24,Moise Kean,21,11,3,0
